               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.052342,            0.014309,                   0,             0.92525,             0.72378,              0.8217,             0.36249,            0.053576,            0.013265,                   0,            0.009973,            0.009973,            0.009973
                  39,            0.056746,            0.014748,                   0,             0.89968,             0.78561,             0.86978,             0.44705,            0.047242,            0.013211,                   0,           0.0099715,           0.0099715,           0.0099715
                  40,            0.056393,            0.013749,                   0,             0.88327,             0.79415,             0.85619,             0.43228,            0.047112,            0.012973,                   0,             0.00997,             0.00997,             0.00997
                  41,            0.052907,            0.013231,                   0,             0.85579,             0.81854,             0.85606,             0.42926,            0.049025,            0.013118,                   0,           0.0099685,           0.0099685,           0.0099685
                  42,            0.055916,            0.014196,                   0,              0.8912,              0.7961,             0.86192,             0.35183,            0.050826,            0.013634,                   0,           0.0099669,           0.0099669,           0.0099669
                  43,            0.054128,            0.014564,                   0,             0.88029,             0.81859,             0.86681,             0.44409,            0.046636,            0.013154,                   0,           0.0099652,           0.0099652,           0.0099652
                  44,            0.055539,            0.014485,                   0,             0.90106,              0.8066,             0.86685,             0.41262,            0.049943,            0.012971,                   0,           0.0099636,           0.0099636,           0.0099636
                  45,            0.059911,            0.014222,                   0,             0.87542,             0.81259,             0.84175,             0.39241,            0.049226,            0.013172,                   0,           0.0099618,           0.0099618,           0.0099618
                  46,             0.05697,            0.014957,                   0,             0.88975,             0.78711,             0.84502,              0.4308,             0.04853,            0.013017,                   0,           0.0099601,           0.0099601,           0.0099601
                  47,            0.051736,            0.013213,                   0,             0.87914,             0.82881,             0.86396,             0.43471,            0.046769,               0.013,                   0,           0.0099583,           0.0099583,           0.0099583
                  48,            0.054068,            0.013479,                   0,             0.88546,             0.81859,             0.86579,             0.43737,            0.046898,            0.012992,                   0,           0.0099565,           0.0099565,           0.0099565
                  49,            0.052167,            0.013898,                   0,             0.91067,             0.82536,             0.88577,             0.45181,            0.045096,            0.013107,                   0,           0.0099546,           0.0099546,           0.0099546
                  50,            0.053236,            0.014876,                   0,             0.91465,             0.77511,              0.8781,             0.44123,            0.047504,              0.0129,                   0,           0.0099527,           0.0099527,           0.0099527
                  51,            0.056835,            0.013792,                   0,             0.89729,             0.81709,             0.88715,             0.44876,            0.044789,            0.012785,                   0,           0.0099508,           0.0099508,           0.0099508
                  52,            0.051607,            0.012578,                   0,              0.8919,             0.84258,             0.87804,             0.43527,            0.045609,            0.012617,                   0,           0.0099488,           0.0099488,           0.0099488
